word,position,relationship
show,mid,Cause-Effect
induce,mid,Cause-Effect
form,mid,Entity-Origin
utilize,mid,Instrument-Agency
cause,mid,Cause-Effect
support,mid,Component-Whole
lead,mid,Cause-Effect
become,mid,Entity-Origin
trigger,mid,Cause-Effect
reveal,mid,0
improve,mid,Cause-Effect
produce,mid,Product-Producer
inbihit,mid,0
result,mid,Cause-Effect
provide,mid,Cause-Effect
need,mid,Component-Whole
link,mid,0
relate,mid,0
aim,mid,Entity-Destination
alleviate,mid,Cause-Effect
derive,mid,Cause-Effect
enhance,mid,Cause-Effect
contribute,mid,Cause-Effect
promote,mid,Cause-Effect
generate,mid,Entity-Origin
prevent,mid,Cause-Effect
correlate,mid,Cause-Effect
require,mid,Entity-Origin
synthesize,mid,Entity-Origin
change,mid,Cause-Effect
contain,mid,Component-Whole
possess,mid,Content-Container
decrease,mid,Cause-Effect
facilitate,mid,Cause-Effect
belong,mid,Content-Container
influence,mid,Cause-Effect
